medication_class,hospital_id,unit_type,eligible_orders_n,converted_orders_n,conversion_pct,cell_suppression_threshold,suppressed_hospital_unit_cells_n
stress_ulcer_prophylaxis,181,Med-Surg ICU,1705,83,4.868035,10,
stress_ulcer_prophylaxis,182,Med-Surg ICU,671,115,17.138599,10,
stress_ulcer_prophylaxis,183,CSICU,1087,7,0.643974,10,
stress_ulcer_prophylaxis,183,Med-Surg ICU,1363,112,8.217168,10,
stress_ulcer_prophylaxis,183,Neuro ICU,1432,94,6.564246,10,
stress_ulcer_prophylaxis,184,Cardiac ICU,927,68,7.335491,10,
stress_ulcer_prophylaxis,184,Med-Surg ICU,809,87,10.754017,10,
stress_ulcer_prophylaxis,194,MICU,164,5,3.04878,10,
stress_ulcer_prophylaxis,195,CTICU,722,0,0.0,10,
stress_ulcer_prophylaxis,195,SICU,702,0,0.0,10,
stress_ulcer_prophylaxis,196,Med-Surg ICU,401,0,0.0,10,
stress_ulcer_prophylaxis,197,CTICU,779,0,0.0,10,
stress_ulcer_prophylaxis,197,Cardiac ICU,388,0,0.0,10,
stress_ulcer_prophylaxis,197,MICU,619,0,0.0,10,
stress_ulcer_prophylaxis,198,CTICU,1002,0,0.0,10,
stress_ulcer_prophylaxis,199,MICU,353,0,0.0,10,
stress_ulcer_prophylaxis,199,Med-Surg ICU,2469,0,0.0,10,
stress_ulcer_prophylaxis,200,Med-Surg ICU,96,0,0.0,10,
stress_ulcer_prophylaxis,202,Med-Surg ICU,999,0,0.0,10,
stress_ulcer_prophylaxis,205,Med-Surg ICU,70,0,0.0,10,
stress_ulcer_prophylaxis,206,Med-Surg ICU,1266,0,0.0,10,
stress_ulcer_prophylaxis,212,Cardiac ICU,13,0,0.0,10,
stress_ulcer_prophylaxis,215,Med-Surg ICU,678,0,0.0,10,
stress_ulcer_prophylaxis,217,CCU-CTICU,335,0,0.0,10,
stress_ulcer_prophylaxis,217,Med-Surg ICU,849,0,0.0,10,
stress_ulcer_prophylaxis,220,Med-Surg ICU,753,0,0.0,10,
stress_ulcer_prophylaxis,224,Med-Surg ICU,390,0,0.0,10,
stress_ulcer_prophylaxis,226,Med-Surg ICU,604,0,0.0,10,
stress_ulcer_prophylaxis,226,Neuro ICU,756,0,0.0,10,
stress_ulcer_prophylaxis,227,CTICU,859,0,0.0,10,
stress_ulcer_prophylaxis,227,Med-Surg ICU,1137,0,0.0,10,
stress_ulcer_prophylaxis,243,Cardiac ICU,1157,30,2.592913,10,
stress_ulcer_prophylaxis,243,MICU,906,59,6.512141,10,
stress_ulcer_prophylaxis,243,Neuro ICU,987,2,0.202634,10,
stress_ulcer_prophylaxis,243,SICU,863,11,1.274623,10,
stress_ulcer_prophylaxis,244,Med-Surg ICU,1051,51,4.852521,10,
stress_ulcer_prophylaxis,245,Med-Surg ICU,503,24,4.771372,10,
stress_ulcer_prophylaxis,246,Med-Surg ICU,50,0,0.0,10,
stress_ulcer_prophylaxis,248,CCU-CTICU,1209,0,0.0,10,
stress_ulcer_prophylaxis,248,Neuro ICU,893,0,0.0,10,
stress_ulcer_prophylaxis,249,Med-Surg ICU,295,0,0.0,10,
stress_ulcer_prophylaxis,250,Med-Surg ICU,130,0,0.0,10,
stress_ulcer_prophylaxis,251,Cardiac ICU,241,0,0.0,10,
stress_ulcer_prophylaxis,252,CCU-CTICU,1211,0,0.0,10,
stress_ulcer_prophylaxis,252,MICU,1336,0,0.0,10,
stress_ulcer_prophylaxis,252,Neuro ICU,795,0,0.0,10,
stress_ulcer_prophylaxis,252,SICU,896,0,0.0,10,
stress_ulcer_prophylaxis,253,Med-Surg ICU,682,0,0.0,10,
stress_ulcer_prophylaxis,254,CTICU,30,0,0.0,10,
stress_ulcer_prophylaxis,254,Cardiac ICU,75,0,0.0,10,
stress_ulcer_prophylaxis,254,SICU,129,0,0.0,10,
stress_ulcer_prophylaxis,256,Med-Surg ICU,120,0,0.0,10,
stress_ulcer_prophylaxis,258,Med-Surg ICU,341,0,0.0,10,
stress_ulcer_prophylaxis,259,Cardiac ICU,1052,0,0.0,10,
stress_ulcer_prophylaxis,262,Med-Surg ICU,199,0,0.0,10,
stress_ulcer_prophylaxis,264,CCU-CTICU,1571,0,0.0,10,
stress_ulcer_prophylaxis,264,Med-Surg ICU,2921,0,0.0,10,
stress_ulcer_prophylaxis,264,Neuro ICU,2531,0,0.0,10,
stress_ulcer_prophylaxis,264,SICU,924,0,0.0,10,
stress_ulcer_prophylaxis,265,MICU,17,0,0.0,10,
stress_ulcer_prophylaxis,266,Med-Surg ICU,278,0,0.0,10,
stress_ulcer_prophylaxis,267,Med-Surg ICU,23,0,0.0,10,
stress_ulcer_prophylaxis,268,Med-Surg ICU,688,27,3.924419,10,
stress_ulcer_prophylaxis,269,Med-Surg ICU,817,27,3.304774,10,
stress_ulcer_prophylaxis,271,Med-Surg ICU,1310,64,4.885496,10,
stress_ulcer_prophylaxis,272,MICU,607,8,1.317957,10,
stress_ulcer_prophylaxis,272,SICU,578,30,5.190311,10,
stress_ulcer_prophylaxis,273,MICU,188,15,7.978723,10,
stress_ulcer_prophylaxis,275,Med-Surg ICU,867,18,2.076125,10,
stress_ulcer_prophylaxis,277,Med-Surg ICU,1991,86,4.319437,10,
stress_ulcer_prophylaxis,279,Med-Surg ICU,790,14,1.772152,10,
stress_ulcer_prophylaxis,280,Med-Surg ICU,1305,61,4.67433,10,
stress_ulcer_prophylaxis,281,CCU-CTICU,1609,13,0.807955,10,
stress_ulcer_prophylaxis,281,Med-Surg ICU,1485,25,1.683502,10,
stress_ulcer_prophylaxis,281,Neuro ICU,424,2,0.471698,10,
stress_ulcer_prophylaxis,282,Cardiac ICU,978,9,0.920245,10,
stress_ulcer_prophylaxis,283,MICU,1260,46,3.650794,10,
stress_ulcer_prophylaxis,283,Med-Surg ICU,65,2,3.076923,10,
stress_ulcer_prophylaxis,283,SICU,1370,86,6.277372,10,
stress_ulcer_prophylaxis,300,CSICU,919,1,0.108814,10,
stress_ulcer_prophylaxis,300,Med-Surg ICU,2672,102,3.817365,10,
stress_ulcer_prophylaxis,303,Med-Surg ICU,178,1,0.561798,10,
stress_ulcer_prophylaxis,307,Med-Surg ICU,2448,54,2.205882,10,
stress_ulcer_prophylaxis,310,Med-Surg ICU,716,31,4.329609,10,
stress_ulcer_prophylaxis,312,Med-Surg ICU,755,5,0.662252,10,
stress_ulcer_prophylaxis,323,Med-Surg ICU,12,0,0.0,10,
stress_ulcer_prophylaxis,328,Med-Surg ICU,463,0,0.0,10,
stress_ulcer_prophylaxis,331,Med-Surg ICU,1520,0,0.0,10,
