pmcid,supplement_href,request_url,final_url,retrieval_source,europe_pmc_status,oa_package_status,http_status,bytes,sha256,extraction_status,reviewable_text_characters_n,native_table,identity_field,event_semantics,time_rule,dose_route,executable_code
PMC11602295,Image1.JPEG,https://pmc.ncbi.nlm.nih.gov/articles/PMC11602295/bin/Image1.JPEG,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11602295/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,346835,7e722a750e7f8e2551bbb0a3684886fa06170bee9e53bb6a5c136d1f7710757c,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11602295,Image2.JPEG,https://pmc.ncbi.nlm.nih.gov/articles/PMC11602295/bin/Image2.JPEG,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11602295/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,320666,3746cd45cf152560748e1c29e34e05e97ed528059653ba5497627f7b61fed3da,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC12414977,Supplementaryfile1.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12414977/bin/Supplementaryfile1.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12414977/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,28161,89d6bb08e9b904ac4c7f03a2cf46bf5991331632c254d1c8ce253c469cc64dd5,docx_extracted,6428,0,0,0,0,0,2
PMC12819319,Supplementaryfile1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12819319/bin/Supplementaryfile1.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12819319/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,262723,dd7901a0bd4a7821ec3a55e14c4f3c3a2ebfbca4dc7bf7de5e837bcfea076c5c,pdf_extracted,3361,0,0,0,0,0,0
PMC12625647,12879_2025_11963_MOESM1_ESM.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12625647/bin/12879_2025_11963_MOESM1_ESM.png,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12625647/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,33028,a58ce24c61faee33e99887037529c0041e9855c4decc233b59f934820e235389,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC12625647,12879_2025_11963_MOESM2_ESM.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12625647/bin/12879_2025_11963_MOESM2_ESM.png,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12625647/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,278075,8d6d298284bf37accbfb7a805ac5c224ad5ba1c8798553dcf441c229482bec7a,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC12625647,12879_2025_11963_MOESM3_ESM.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12625647/bin/12879_2025_11963_MOESM3_ESM.png,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12625647/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,98791,e4a703a8779a230b205b24849a341691805acdfd8170da5f09d376db76ef9089,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC12625647,12879_2025_11963_MOESM4_ESM.png,https://pmc.ncbi.nlm.nih.gov/articles/PMC12625647/bin/12879_2025_11963_MOESM4_ESM.png,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12625647/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,133786,3eedeb65b0c7756ca44a25c348f7eba589e2c1060dfb7076504292dfa64a6a67,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC12625647,12879_2025_11963_MOESM5_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12625647/bin/12879_2025_11963_MOESM5_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12625647/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,28861,357b8a10f270e29c1851274f768448d3c53fb118bc536aa03cf798b8c1cbc5ce,docx_extracted,9278,0,0,12,2,7,0
PMC12093854,40560_2025_797_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12093854/bin/40560_2025_797_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12093854/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,41465,7d447b874ce9d44954123ddc93431c8c8003a35f8dd78c8bbaffe234766e2d18,docx_extracted,10932,0,0,0,0,0,0
PMC12513587,pone.0333795.s001.xlsx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12513587/bin/pone.0333795.s001.xlsx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12513587/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,389007,b4b95fcf2d3571a04061d66a6614a3fe1cc1f4b6938472781643bcb295faf3c6,xlsx_extracted,315620,0,0,0,0,0,0
PMC12513587,pone.0333795.s002.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12513587/bin/pone.0333795.s002.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12513587/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,76988,c4af5859f2650e6f637c8fa4438462940e28cf122b19d91a802fb8a09ea93dc4,pdf_extracted,569,0,0,0,0,0,0
PMC12513587,pone.0333795.s003.sql,https://pmc.ncbi.nlm.nih.gov/articles/PMC12513587/bin/pone.0333795.s003.sql,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12513587/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,4862,509baeacba64235c067168e40b619e9298b9d0f530a584531b313e622a114e3e,text_extracted,4804,3,16,0,0,3,41
PMC12513587,pone.0333795.s004.py,https://pmc.ncbi.nlm.nih.gov/articles/PMC12513587/bin/pone.0333795.s004.py,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12513587/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,4580,acb839fb95e0ea9d834bfd67324965d91d8a5b6e466176616280ed876d159d91,text_extracted,4438,0,0,0,0,0,3
PMC12102817,40001_2025_2660_MOESM1_ESM.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12102817/bin/40001_2025_2660_MOESM1_ESM.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12102817/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,9226331,5f1745a208cfec6aafa5a90441d743c153f438a7aa06cefbbde848586b06ecf4,pdf_extracted,78523,0,0,0,2,6,27
PMC10729002,DataSheet1.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC10729002/bin/DataSheet1.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10729002/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,147581,35554ae901c4c148220c71c66d8b7b9004716855cdc78f96ca90869899123be7,docx_extracted,1159,0,0,0,0,0,0
PMC9501718,figure_s1_1_tkac029.jpeg,https://pmc.ncbi.nlm.nih.gov/articles/PMC9501718/bin/figure_s1_1_tkac029.jpeg,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9501718/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,143660,f811e7feb16b220fee1a6d5ca60500eba36b94dd8d983633706159173e1782bb,binary_not_text_reviewable,0,0,0,0,0,0,0
