role,representation,medication_class,metadata_dimension,records_n,available_n,available_pct
administration,native,intra_abdominal_antibiotics,frequency,1191,0,0.0
administration,native,intra_abdominal_antibiotics,status,1191,1191,100.0
administration,native,intra_abdominal_antibiotics,subject,1191,1191,100.0
administration,native,intra_abdominal_antibiotics,encounter,1191,1145,96.137699
administration,native,intra_abdominal_antibiotics,event_time,1191,1191,100.0
administration,fhir,intra_abdominal_antibiotics,route,807,0,0.0
administration,fhir,intra_abdominal_antibiotics,dose,807,787,97.521685
administration,fhir,intra_abdominal_antibiotics,unit,807,787,97.521685
administration,fhir,intra_abdominal_antibiotics,frequency,807,0,0.0
administration,fhir,intra_abdominal_antibiotics,status,807,807,100.0
administration,fhir,intra_abdominal_antibiotics,subject,807,807,100.0
administration,fhir,intra_abdominal_antibiotics,encounter,807,766,94.919455
administration,fhir,intra_abdominal_antibiotics,event_time,807,807,100.0
administration,native,electrolyte_replacement,route,786,93,11.832061
administration,native,electrolyte_replacement,dose,786,749,95.292621
administration,native,electrolyte_replacement,unit,786,750,95.419847
administration,native,electrolyte_replacement,frequency,786,0,0.0
administration,native,electrolyte_replacement,status,786,786,100.0
administration,native,electrolyte_replacement,subject,786,786,100.0
administration,native,electrolyte_replacement,encounter,786,776,98.727735
administration,native,electrolyte_replacement,event_time,786,786,100.0
administration,fhir,electrolyte_replacement,route,1343,0,0.0
administration,fhir,electrolyte_replacement,dose,1343,1191,88.682055
administration,fhir,electrolyte_replacement,unit,1343,1186,88.309754
administration,fhir,electrolyte_replacement,frequency,1343,0,0.0
administration,fhir,electrolyte_replacement,status,1343,1343,100.0
administration,fhir,electrolyte_replacement,subject,1343,1343,100.0
administration,fhir,electrolyte_replacement,encounter,1343,1322,98.436337
administration,fhir,electrolyte_replacement,event_time,1343,1343,100.0
administration,native,prokinetic,route,73,1,1.369863
administration,native,prokinetic,dose,73,66,90.410959
administration,native,prokinetic,unit,73,66,90.410959
administration,native,prokinetic,frequency,73,0,0.0
administration,native,prokinetic,status,73,73,100.0
administration,native,prokinetic,subject,73,73,100.0
administration,native,prokinetic,encounter,73,73,100.0
administration,native,prokinetic,event_time,73,73,100.0
administration,fhir,prokinetic,route,66,0,0.0
administration,fhir,prokinetic,dose,66,66,100.0
administration,fhir,prokinetic,unit,66,66,100.0
administration,fhir,prokinetic,frequency,66,0,0.0
administration,fhir,prokinetic,status,66,66,100.0
administration,fhir,prokinetic,subject,66,66,100.0
administration,fhir,prokinetic,encounter,66,66,100.0
administration,fhir,prokinetic,event_time,66,66,100.0
administration,native,insulin,route,2877,0,0.0
administration,native,insulin,dose,2877,1632,56.725756
administration,native,insulin,unit,2877,1705,59.263121
administration,native,insulin,frequency,2877,0,0.0
administration,native,insulin,status,2877,2877,100.0
administration,native,insulin,subject,2877,2877,100.0
administration,native,insulin,encounter,2877,2820,98.01877
administration,native,insulin,event_time,2877,2877,100.0
administration,fhir,insulin,route,1602,0,0.0
administration,fhir,insulin,dose,1602,1595,99.563046
administration,fhir,insulin,unit,1602,1590,99.250936
administration,fhir,insulin,frequency,1602,0,0.0
administration,fhir,insulin,status,1602,1602,100.0
administration,fhir,insulin,subject,1602,1602,100.0
administration,fhir,insulin,encounter,1602,1586,99.001248
administration,fhir,insulin,event_time,1602,1602,100.0
